cleaned,bigram,trigram
dinamain xiaomi bang angka hoki china,"['dinamain xiaomi', 'xiaomi bang', 'bang angka', 'angka hoki', 'hoki china']","['dinamain xiaomi bang', 'xiaomi bang angka', 'bang angka hoki', 'angka hoki china']"
kamerany gilaaa,['kamerany gilaaa'],[]
xiaomi pro max mode lock screen notif pesan masuk panggilan telepon aplikasi line messenger settingan nyalakan,"['xiaomi pro', 'pro max', 'max mode', 'mode lock', 'lock screen', 'screen notif', 'notif pesan', 'pesan masuk', 'masuk panggilan', 'panggilan telepon', 'telepon aplikasi', 'aplikasi line', 'line messenger', 'messenger settingan', 'settingan nyalakan']","['xiaomi pro max', 'pro max mode', 'max mode lock', 'mode lock screen', 'lock screen notif', 'screen notif pesan', 'notif pesan masuk', 'pesan masuk panggilan', 'masuk panggilan telepon', 'panggilan telepon aplikasi', 'telepon aplikasi line', 'aplikasi line messenger', 'line messenger settingan', 'messenger settingan nyalakan']"
bang brarti sial kali hoki,"['bang brarti', 'brarti sial', 'sial kali', 'kali hoki']","['bang brarti sial', 'brarti sial kali', 'sial kali hoki']"
gw suka bet ama desainnya kaya simple elegan gada gimmick kaya led d backdoor kaya hp hp gemink kamera ama flash d misah kaya kesan gitu enak bet gw liat,"['gw suka', 'suka bet', 'bet ama', 'ama desainnya', 'desainnya kaya', 'kaya simple', 'simple elegan', 'elegan gada', 'gada gimmick', 'gimmick kaya', 'kaya led', 'led d', 'd backdoor', 'backdoor kaya', 'kaya hp', 'hp hp', 'hp gemink', 'gemink kamera', 'kamera ama', 'ama flash', 'flash d', 'd misah', 'misah kaya', 'kaya kesan', 'kesan gitu', 'gitu enak', 'enak bet', 'bet gw', 'gw liat']","['gw suka bet', 'suka bet ama', 'bet ama desainnya', 'ama desainnya kaya', 'desainnya kaya simple', 'kaya simple elegan', 'simple elegan gada', 'elegan gada gimmick', 'gada gimmick kaya', 'gimmick kaya led', 'kaya led d', 'led d backdoor', 'd backdoor kaya', 'backdoor kaya hp', 'kaya hp hp', 'hp hp gemink', 'hp gemink kamera', 'gemink kamera ama', 'kamera ama flash', 'ama flash d', 'flash d misah', 'd misah kaya', 'misah kaya kesan', 'kaya kesan gitu', 'kesan gitu enak', 'gitu enak bet', 'enak bet gw', 'bet gw liat']"
ililililil,[],[]
tau gak user android under jt berisik kolom komentar unboxing review gadget,"['tau gak', 'gak user', 'user android', 'android under', 'under jt', 'jt berisik', 'berisik kolom', 'kolom komentar', 'komentar unboxing', 'unboxing review', 'review gadget']","['tau gak user', 'gak user android', 'user android under', 'android under jt', 'under jt berisik', 'jt berisik kolom', 'berisik kolom komentar', 'kolom komentar unboxing', 'komentar unboxing review', 'unboxing review gadget']"
main game ff pro mx lancar gak bg,"['main game', 'game ff', 'ff pro', 'pro mx', 'mx lancar', 'lancar gak', 'gak bg']","['main game ff', 'game ff pro', 'ff pro mx', 'pro mx lancar', 'mx lancar gak', 'lancar gak bg']"
xiaomi iklannya si hape nya,"['xiaomi iklannya', 'iklannya si', 'si hape', 'hape nya']","['xiaomi iklannya si', 'iklannya si hape', 'si hape nya']"
telat banget lu bang,"['telat banget', 'banget lu', 'lu bang']","['telat banget lu', 'banget lu bang']"
gimana biar beli hp kerja,"['gimana biar', 'biar beli', 'beli hp', 'hp kerja']","['gimana biar beli', 'biar beli hp', 'beli hp kerja']"
kayak itel niru samsung,"['kayak itel', 'itel niru', 'niru samsung']","['kayak itel niru', 'itel niru samsung']"
hi netizen lihat bacalah komentar user xiaomi nyenggol nyenggol tetangga sebelah hahahahah,"['hi netizen', 'netizen lihat', 'lihat bacalah', 'bacalah komentar', 'komentar user', 'user xiaomi', 'xiaomi nyenggol', 'nyenggol nyenggol', 'nyenggol tetangga', 'tetangga sebelah', 'sebelah hahahahah']","['hi netizen lihat', 'netizen lihat bacalah', 'lihat bacalah komentar', 'bacalah komentar user', 'komentar user xiaomi', 'user xiaomi nyenggol', 'xiaomi nyenggol nyenggol', 'nyenggol nyenggol tetangga', 'nyenggol tetangga sebelah', 'tetangga sebelah hahahahah']"
angka orang gantung bang,"['angka orang', 'orang gantung', 'gantung bang']","['angka orang gantung', 'orang gantung bang']"
snapdragon gen perasaan panas mulu dimana letak inovasi kemajuan teknologinya,"['snapdragon gen', 'gen perasaan', 'perasaan panas', 'panas mulu', 'mulu dimana', 'dimana letak', 'letak inovasi', 'inovasi kemajuan', 'kemajuan teknologinya']","['snapdragon gen perasaan', 'gen perasaan panas', 'perasaan panas mulu', 'panas mulu dimana', 'mulu dimana letak', 'dimana letak inovasi', 'letak inovasi kemajuan', 'inovasi kemajuan teknologinya']"
review iqoo zr nya bang,"['review iqoo', 'iqoo zr', 'zr nya', 'nya bang']","['review iqoo zr', 'iqoo zr nya', 'zr nya bang']"
davidakun yt mu ss trus dipajang fb posting heran ilmu tehnologi minimtapi subreb nya jutaan sedih bacanya,"['davidakun yt', 'yt mu', 'mu ss', 'ss trus', 'trus dipajang', 'dipajang fb', 'fb posting', 'posting heran', 'heran ilmu', 'ilmu tehnologi', 'tehnologi minimtapi', 'minimtapi subreb', 'subreb nya', 'nya jutaan', 'jutaan sedih', 'sedih bacanya']","['davidakun yt mu', 'yt mu ss', 'mu ss trus', 'ss trus dipajang', 'trus dipajang fb', 'dipajang fb posting', 'fb posting heran', 'posting heran ilmu', 'heran ilmu tehnologi', 'ilmu tehnologi minimtapi', 'tehnologi minimtapi subreb', 'minimtapi subreb nya', 'subreb nya jutaan', 'nya jutaan sedih', 'jutaan sedih bacanya']"
poco mpro,['poco mpro'],[]
angka enamnya bang angka enam nilai ahmad sahr,"['angka enamnya', 'enamnya bang', 'bang angka', 'angka enam', 'enam nilai', 'nilai ahmad', 'ahmad sahr']","['angka enamnya bang', 'enamnya bang angka', 'bang angka enam', 'angka enam nilai', 'enam nilai ahmad', 'nilai ahmad sahr']"
kalo ngomongin tetep kalo merk hp ya iphone,"['kalo ngomongin', 'ngomongin tetep', 'tetep kalo', 'kalo merk', 'merk hp', 'hp ya', 'ya iphone']","['kalo ngomongin tetep', 'ngomongin tetep kalo', 'tetep kalo merk', 'kalo merk hp', 'merk hp ya', 'hp ya iphone']"
nanya ka xiaomi bpro max x vivo x pro bagus ka,"['nanya ka', 'ka xiaomi', 'xiaomi bpro', 'bpro max', 'max x', 'x vivo', 'vivo x', 'x pro', 'pro bagus', 'bagus ka']","['nanya ka xiaomi', 'ka xiaomi bpro', 'xiaomi bpro max', 'bpro max x', 'max x vivo', 'x vivo x', 'vivo x pro', 'x pro bagus', 'pro bagus ka']"
review zr bang,"['review zr', 'zr bang']",['review zr bang']
teknologi xiaomi kalo kamera iphone natural,"['teknologi xiaomi', 'xiaomi kalo', 'kalo kamera', 'kamera iphone', 'iphone natural']","['teknologi xiaomi kalo', 'xiaomi kalo kamera', 'kalo kamera iphone', 'kamera iphone natural']"
sebagus emang xiaomi pro max nunggu resmi beli,"['sebagus emang', 'emang xiaomi', 'xiaomi pro', 'pro max', 'max nunggu', 'nunggu resmi', 'resmi beli']","['sebagus emang xiaomi', 'emang xiaomi pro', 'xiaomi pro max', 'pro max nunggu', 'max nunggu resmi', 'nunggu resmi beli']"
iqoo zr bgg ko blm review,"['iqoo zr', 'zr bgg', 'bgg ko', 'ko blm', 'blm review']","['iqoo zr bgg', 'zr bgg ko', 'bgg ko blm', 'ko blm review']"
namanya niru xiomi pro max ekor,"['namanya niru', 'niru xiomi', 'xiomi pro', 'pro max', 'max ekor']","['namanya niru xiomi', 'niru xiomi pro', 'xiomi pro max', 'pro max ekor']"
bang xiaomi apple tu layar kerjasamatp layar saingan berat aslinya gebrakan dpt cuan rivalnya produk tsb namanya dagang kanklo kerjasama bs menghasilkan untung why not gt software nya xiaomi ngerjain apple kahapa bnr gt,"['bang xiaomi', 'xiaomi apple', 'apple tu', 'tu layar', 'layar kerjasamatp', 'kerjasamatp layar', 'layar saingan', 'saingan berat', 'berat aslinya', 'aslinya gebrakan', 'gebrakan dpt', 'dpt cuan', 'cuan rivalnya', 'rivalnya produk', 'produk tsb', 'tsb namanya', 'namanya dagang', 'dagang kanklo', 'kanklo kerjasama', 'kerjasama bs', 'bs menghasilkan', 'menghasilkan untung', 'untung why', 'why not', 'not gt', 'gt software', 'software nya', 'nya xiaomi', 'xiaomi ngerjain', 'ngerjain apple', 'apple kahapa', 'kahapa bnr', 'bnr gt']","['bang xiaomi apple', 'xiaomi apple tu', 'apple tu layar', 'tu layar kerjasamatp', 'layar kerjasamatp layar', 'kerjasamatp layar saingan', 'layar saingan berat', 'saingan berat aslinya', 'berat aslinya gebrakan', 'aslinya gebrakan dpt', 'gebrakan dpt cuan', 'dpt cuan rivalnya', 'cuan rivalnya produk', 'rivalnya produk tsb', 'produk tsb namanya', 'tsb namanya dagang', 'namanya dagang kanklo', 'dagang kanklo kerjasama', 'kanklo kerjasama bs', 'kerjasama bs menghasilkan', 'bs menghasilkan untung', 'menghasilkan untung why', 'untung why not', 'why not gt', 'not gt software', 'gt software nya', 'software nya xiaomi', 'nya xiaomi ngerjain', 'xiaomi ngerjain apple', 'ngerjain apple kahapa', 'apple kahapa bnr', 'kahapa bnr gt']"
iphone udh klh android,"['iphone udh', 'udh klh', 'klh android']","['iphone udh klh', 'udh klh android']"
nonton pake xiaomi,"['nonton pake', 'pake xiaomi']",['nonton pake xiaomi']
focus poco x,"['focus poco', 'poco x']",['focus poco x']
pro max pro mag bang,"['pro max', 'max pro', 'pro mag', 'mag bang']","['pro max pro', 'max pro mag', 'pro mag bang']"
suara mu bang,"['suara mu', 'mu bang']",['suara mu bang']
gredegnya gak sih videonya,"['gredegnya gak', 'gak sih', 'sih videonya']","['gredegnya gak sih', 'gak sih videonya']"
model kamera poco udah model jendela dri dlu ya niru epon brarti,"['model kamera', 'kamera poco', 'poco udah', 'udah model', 'model jendela', 'jendela dri', 'dri dlu', 'dlu ya', 'ya niru', 'niru epon', 'epon brarti']","['model kamera poco', 'kamera poco udah', 'poco udah model', 'udah model jendela', 'model jendela dri', 'jendela dri dlu', 'dri dlu ya', 'dlu ya niru', 'ya niru epon', 'niru epon brarti']"
chargernya chargernya chargernya,"['chargernya chargernya', 'chargernya chargernya']",['chargernya chargernya chargernya']
unsur lgbtq nya kyk sebelah,"['unsur lgbtq', 'lgbtq nya', 'nya kyk', 'kyk sebelah']","['unsur lgbtq nya', 'lgbtq nya kyk', 'nya kyk sebelah']"
kalo dibilang angka sial bahasa chinda jepang angka shie mati,"['kalo dibilang', 'dibilang angka', 'angka sial', 'sial bahasa', 'bahasa chinda', 'chinda jepang', 'jepang angka', 'angka shie', 'shie mati']","['kalo dibilang angka', 'dibilang angka sial', 'angka sial bahasa', 'sial bahasa chinda', 'bahasa chinda jepang', 'chinda jepang angka', 'jepang angka shie', 'angka shie mati']"
ya nonton beli salah kayaknya gadulu,"['ya nonton', 'nonton beli', 'beli salah', 'salah kayaknya', 'kayaknya gadulu']","['ya nonton beli', 'nonton beli salah', 'beli salah kayaknya', 'salah kayaknya gadulu']"
fitur kucing lucu sih betina suka hp kaya gini,"['fitur kucing', 'kucing lucu', 'lucu sih', 'sih betina', 'betina suka', 'suka hp', 'hp kaya', 'kaya gini']","['fitur kucing lucu', 'kucing lucu sih', 'lucu sih betina', 'sih betina suka', 'betina suka hp', 'suka hp kaya', 'hp kaya gini']"
w,[],[]
lalunonton doang kagak beli,"['lalunonton doang', 'doang kagak', 'kagak beli']","['lalunonton doang kagak', 'doang kagak beli']"
halo david,['halo david'],[]
klo david udh ngreview hp lg jelasin hp,"['klo david', 'david udh', 'udh ngreview', 'ngreview hp', 'hp lg', 'lg jelasin', 'jelasin hp']","['klo david udh', 'david udh ngreview', 'udh ngreview hp', 'ngreview hp lg', 'hp lg jelasin', 'lg jelasin hp']"
ngoceh doang menit bang,"['ngoceh doang', 'doang menit', 'menit bang']","['ngoceh doang menit', 'doang menit bang']"
siomay worth to buy with valuable money apel kaum mendang mending sesimple,"['siomay worth', 'worth to', 'to buy', 'buy with', 'with valuable', 'valuable money', 'money apel', 'apel kaum', 'kaum mendang', 'mendang mending', 'mending sesimple']","['siomay worth to', 'worth to buy', 'to buy with', 'buy with valuable', 'with valuable money', 'valuable money apel', 'money apel kaum', 'apel kaum mendang', 'kaum mendang mending', 'mendang mending sesimple']"
xiaomi hasil audio video outdoor suara anginnya kenceng banget,"['xiaomi hasil', 'hasil audio', 'audio video', 'video outdoor', 'outdoor suara', 'suara anginnya', 'anginnya kenceng', 'kenceng banget']","['xiaomi hasil audio', 'hasil audio video', 'audio video outdoor', 'video outdoor suara', 'outdoor suara anginnya', 'suara anginnya kenceng', 'anginnya kenceng banget']"
cakepan xiaomi ya,"['cakepan xiaomi', 'xiaomi ya']",['cakepan xiaomi ya']
iphone niru xiaomi duluan desain poco,"['iphone niru', 'niru xiaomi', 'xiaomi duluan', 'duluan desain', 'desain poco']","['iphone niru xiaomi', 'niru xiaomi duluan', 'xiaomi duluan desain', 'duluan desain poco']"
bang udah bahas redmi k pro max speaker bose bang menarik kerena jualan audio bahas bang redmi k pro,"['bang udah', 'udah bahas', 'bahas redmi', 'redmi k', 'k pro', 'pro max', 'max speaker', 'speaker bose', 'bose bang', 'bang menarik', 'menarik kerena', 'kerena jualan', 'jualan audio', 'audio bahas', 'bahas bang', 'bang redmi', 'redmi k', 'k pro']","['bang udah bahas', 'udah bahas redmi', 'bahas redmi k', 'redmi k pro', 'k pro max', 'pro max speaker', 'max speaker bose', 'speaker bose bang', 'bose bang menarik', 'bang menarik kerena', 'menarik kerena jualan', 'kerena jualan audio', 'jualan audio bahas', 'audio bahas bang', 'bahas bang redmi', 'bang redmi k', 'redmi k pro']"
ipong,[],[]
nunggu samsung s ultra,"['nunggu samsung', 'samsung s', 's ultra']","['nunggu samsung s', 'samsung s ultra']"
bang review vivo x pro,"['bang review', 'review vivo', 'vivo x', 'x pro']","['bang review vivo', 'review vivo x', 'vivo x pro']"
gacocok suka jatohin hp,"['gacocok suka', 'suka jatohin', 'jatohin hp']","['gacocok suka jatohin', 'suka jatohin hp']"
definisi atm amati tiru modifikasi,"['definisi atm', 'atm amati', 'amati tiru', 'tiru modifikasi']","['definisi atm amati', 'atm amati tiru', 'amati tiru modifikasi']"
xiaomi is the best,"['xiaomi is', 'is the', 'the best']","['xiaomi is the', 'is the best']"
udh pake minggu overall puas banget,"['udh pake', 'pake minggu', 'minggu overall', 'overall puas', 'puas banget']","['udh pake minggu', 'pake minggu overall', 'minggu overall puas', 'overall puas banget']"
bagusan redmi k pro max antutu jt speaker biji woofer bose,"['bagusan redmi', 'redmi k', 'k pro', 'pro max', 'max antutu', 'antutu jt', 'jt speaker', 'speaker biji', 'biji woofer', 'woofer bose']","['bagusan redmi k', 'redmi k pro', 'k pro max', 'pro max antutu', 'max antutu jt', 'antutu jt speaker', 'jt speaker biji', 'speaker biji woofer', 'biji woofer bose']"
review,[],[]
nama bng fitur inovasi acc beda bng biarpun fitur xiaomi pro max segunung msh ksh changer produk flagshipnya tdk sprt merk sebelah cm ikutan ngilangin changer tipisin body kyk merk buahan xiaomi mah beda the best dah xiaomi mah,"['nama bng', 'bng fitur', 'fitur inovasi', 'inovasi acc', 'acc beda', 'beda bng', 'bng biarpun', 'biarpun fitur', 'fitur xiaomi', 'xiaomi pro', 'pro max', 'max segunung', 'segunung msh', 'msh ksh', 'ksh changer', 'changer produk', 'produk flagshipnya', 'flagshipnya tdk', 'tdk sprt', 'sprt merk', 'merk sebelah', 'sebelah cm', 'cm ikutan', 'ikutan ngilangin', 'ngilangin changer', 'changer tipisin', 'tipisin body', 'body kyk', 'kyk merk', 'merk buahan', 'buahan xiaomi', 'xiaomi mah', 'mah beda', 'beda the', 'the best', 'best dah', 'dah xiaomi', 'xiaomi mah']","['nama bng fitur', 'bng fitur inovasi', 'fitur inovasi acc', 'inovasi acc beda', 'acc beda bng', 'beda bng biarpun', 'bng biarpun fitur', 'biarpun fitur xiaomi', 'fitur xiaomi pro', 'xiaomi pro max', 'pro max segunung', 'max segunung msh', 'segunung msh ksh', 'msh ksh changer', 'ksh changer produk', 'changer produk flagshipnya', 'produk flagshipnya tdk', 'flagshipnya tdk sprt', 'tdk sprt merk', 'sprt merk sebelah', 'merk sebelah cm', 'sebelah cm ikutan', 'cm ikutan ngilangin', 'ikutan ngilangin changer', 'ngilangin changer tipisin', 'changer tipisin body', 'tipisin body kyk', 'body kyk merk', 'kyk merk buahan', 'merk buahan xiaomi', 'buahan xiaomi mah', 'xiaomi mah beda', 'mah beda the', 'beda the best', 'the best dah', 'best dah xiaomi', 'dah xiaomi mah']"
julukan chipset setrika dipegang qualcomm snapdragon,"['julukan chipset', 'chipset setrika', 'setrika dipegang', 'dipegang qualcomm', 'qualcomm snapdragon']","['julukan chipset setrika', 'chipset setrika dipegang', 'setrika dipegang qualcomm', 'dipegang qualcomm snapdragon']"
orang xiaomi mata kerja divisi desain nya iphone,"['orang xiaomi', 'xiaomi mata', 'mata kerja', 'kerja divisi', 'divisi desain', 'desain nya', 'nya iphone']","['orang xiaomi mata', 'xiaomi mata kerja', 'mata kerja divisi', 'kerja divisi desain', 'divisi desain nya', 'desain nya iphone']"
video konten proper iphone,"['video konten', 'konten proper', 'proper iphone']","['video konten proper', 'konten proper iphone']"
masuk indo nya beli dimana info donk,"['masuk indo', 'indo nya', 'nya beli', 'beli dimana', 'dimana info', 'info donk']","['masuk indo nya', 'indo nya beli', 'nya beli dimana', 'beli dimana info', 'dimana info donk']"
review akun genshin lu bang,"['review akun', 'akun genshin', 'genshin lu', 'lu bang']","['review akun genshin', 'akun genshin lu', 'genshin lu bang']"
hyperse,[],[]
pasukan vivo,['pasukan vivo'],[]
hp gaya mending beli hp murah yan strong spartan pepatah tiongkok,"['hp gaya', 'gaya mending', 'mending beli', 'beli hp', 'hp murah', 'murah yan', 'yan strong', 'strong spartan', 'spartan pepatah', 'pepatah tiongkok']","['hp gaya mending', 'gaya mending beli', 'mending beli hp', 'beli hp murah', 'hp murah yan', 'murah yan strong', 'yan strong spartan', 'strong spartan pepatah', 'spartan pepatah tiongkok']"
desain nya niru ip anak perusahaan xiaomi poco udh jir akar desain lapangan sepak bola tu poco penemu nya,"['desain nya', 'nya niru', 'niru ip', 'ip anak', 'anak perusahaan', 'perusahaan xiaomi', 'xiaomi poco', 'poco udh', 'udh jir', 'jir akar', 'akar desain', 'desain lapangan', 'lapangan sepak', 'sepak bola', 'bola tu', 'tu poco', 'poco penemu', 'penemu nya']","['desain nya niru', 'nya niru ip', 'niru ip anak', 'ip anak perusahaan', 'anak perusahaan xiaomi', 'perusahaan xiaomi poco', 'xiaomi poco udh', 'poco udh jir', 'udh jir akar', 'jir akar desain', 'akar desain lapangan', 'desain lapangan sepak', 'lapangan sepak bola', 'sepak bola tu', 'bola tu poco', 'tu poco penemu', 'poco penemu nya']"
bagusssss bangetttttttttttt,['bagusssss bangetttttttttttt'],[]
nunggu gadgetin review galaxy xr,"['nunggu gadgetin', 'gadgetin review', 'review galaxy', 'galaxy xr']","['nunggu gadgetin review', 'gadgetin review galaxy', 'review galaxy xr']"
gw gak seneng produk xiaomi orang iphone trend setter follower asli disukai followernya sejuta kelebihan,"['gw gak', 'gak seneng', 'seneng produk', 'produk xiaomi', 'xiaomi orang', 'orang iphone', 'iphone trend', 'trend setter', 'setter follower', 'follower asli', 'asli disukai', 'disukai followernya', 'followernya sejuta', 'sejuta kelebihan']","['gw gak seneng', 'gak seneng produk', 'seneng produk xiaomi', 'produk xiaomi orang', 'xiaomi orang iphone', 'orang iphone trend', 'iphone trend setter', 'trend setter follower', 'setter follower asli', 'follower asli disukai', 'asli disukai followernya', 'disukai followernya sejuta', 'followernya sejuta kelebihan']"
ayo bang redmi k pro max ditunggu bsg gadgetin,"['ayo bang', 'bang redmi', 'redmi k', 'k pro', 'pro max', 'max ditunggu', 'ditunggu bsg', 'bsg gadgetin']","['ayo bang redmi', 'bang redmi k', 'redmi k pro', 'k pro max', 'pro max ditunggu', 'max ditunggu bsg', 'ditunggu bsg gadgetin']"
sial kuadrat double hoki,"['sial kuadrat', 'kuadrat double', 'double hoki']","['sial kuadrat double', 'kuadrat double hoki']"
yah tertarik xiaomi si karna jendela nya bermaafaat dibelakang desain nya kek gak ya sia sia gitu bikin lebar lengkungan digunain kaya iphone desain nya bermanfaat jendela nya kek sia sia dibikin jendela lebar lebar,"['yah tertarik', 'tertarik xiaomi', 'xiaomi si', 'si karna', 'karna jendela', 'jendela nya', 'nya bermaafaat', 'bermaafaat dibelakang', 'dibelakang desain', 'desain nya', 'nya kek', 'kek gak', 'gak ya', 'ya sia', 'sia sia', 'sia gitu', 'gitu bikin', 'bikin lebar', 'lebar lengkungan', 'lengkungan digunain', 'digunain kaya', 'kaya iphone', 'iphone desain', 'desain nya', 'nya bermanfaat', 'bermanfaat jendela', 'jendela nya', 'nya kek', 'kek sia', 'sia sia', 'sia dibikin', 'dibikin jendela', 'jendela lebar', 'lebar lebar']","['yah tertarik xiaomi', 'tertarik xiaomi si', 'xiaomi si karna', 'si karna jendela', 'karna jendela nya', 'jendela nya bermaafaat', 'nya bermaafaat dibelakang', 'bermaafaat dibelakang desain', 'dibelakang desain nya', 'desain nya kek', 'nya kek gak', 'kek gak ya', 'gak ya sia', 'ya sia sia', 'sia sia gitu', 'sia gitu bikin', 'gitu bikin lebar', 'bikin lebar lengkungan', 'lebar lengkungan digunain', 'lengkungan digunain kaya', 'digunain kaya iphone', 'kaya iphone desain', 'iphone desain nya', 'desain nya bermanfaat', 'nya bermanfaat jendela', 'bermanfaat jendela nya', 'jendela nya kek', 'nya kek sia', 'kek sia sia', 'sia sia dibikin', 'sia dibikin jendela', 'dibikin jendela lebar', 'jendela lebar lebar']"
jam udh juta beuhhhh laris banget,"['jam udh', 'udh juta', 'juta beuhhhh', 'beuhhhh laris', 'laris banget']","['jam udh juta', 'udh juta beuhhhh', 'juta beuhhhh laris', 'beuhhhh laris banget']"
owner nya pintar cuman kasih minjam promosi sehatga puluhan juta,"['owner nya', 'nya pintar', 'pintar cuman', 'cuman kasih', 'kasih minjam', 'minjam promosi', 'promosi sehatga', 'sehatga puluhan', 'puluhan juta']","['owner nya pintar', 'nya pintar cuman', 'pintar cuman kasih', 'cuman kasih minjam', 'kasih minjam promosi', 'minjam promosi sehatga', 'promosi sehatga puluhan', 'sehatga puluhan juta']"
bayangin ip ngeluarin series qwerty gw ikutan tuh,"['bayangin ip', 'ip ngeluarin', 'ngeluarin series', 'series qwerty', 'qwerty gw', 'gw ikutan', 'ikutan tuh']","['bayangin ip ngeluarin', 'ip ngeluarin series', 'ngeluarin series qwerty', 'series qwerty gw', 'qwerty gw ikutan', 'gw ikutan tuh']"
otw nabung pro max nya xiaomi bagus parah,"['otw nabung', 'nabung pro', 'pro max', 'max nya', 'nya xiaomi', 'xiaomi bagus', 'bagus parah']","['otw nabung pro', 'nabung pro max', 'pro max nya', 'max nya xiaomi', 'nya xiaomi bagus', 'xiaomi bagus parah']"
cina angka bikin hoki angka triple terdengar hokibole search,"['cina angka', 'angka bikin', 'bikin hoki', 'hoki angka', 'angka triple', 'triple terdengar', 'terdengar hokibole', 'hokibole search']","['cina angka bikin', 'angka bikin hoki', 'bikin hoki angka', 'hoki angka triple', 'angka triple terdengar', 'triple terdengar hokibole', 'terdengar hokibole search']"
asli bang gua harap hp ya in fitur kebanyakan orang suka pake rear camera bingung foto bareng fotoin pingin capture lihat foto pas jepret alhasil masuk frame wkwkwk solusinya ya pake tripod bluetooth foto pake remote,"['asli bang', 'bang gua', 'gua harap', 'harap hp', 'hp ya', 'ya in', 'in fitur', 'fitur kebanyakan', 'kebanyakan orang', 'orang suka', 'suka pake', 'pake rear', 'rear camera', 'camera bingung', 'bingung foto', 'foto bareng', 'bareng fotoin', 'fotoin pingin', 'pingin capture', 'capture lihat', 'lihat foto', 'foto pas', 'pas jepret', 'jepret alhasil', 'alhasil masuk', 'masuk frame', 'frame wkwkwk', 'wkwkwk solusinya', 'solusinya ya', 'ya pake', 'pake tripod', 'tripod bluetooth', 'bluetooth foto', 'foto pake', 'pake remote']","['asli bang gua', 'bang gua harap', 'gua harap hp', 'harap hp ya', 'hp ya in', 'ya in fitur', 'in fitur kebanyakan', 'fitur kebanyakan orang', 'kebanyakan orang suka', 'orang suka pake', 'suka pake rear', 'pake rear camera', 'rear camera bingung', 'camera bingung foto', 'bingung foto bareng', 'foto bareng fotoin', 'bareng fotoin pingin', 'fotoin pingin capture', 'pingin capture lihat', 'capture lihat foto', 'lihat foto pas', 'foto pas jepret', 'pas jepret alhasil', 'jepret alhasil masuk', 'alhasil masuk frame', 'masuk frame wkwkwk', 'frame wkwkwk solusinya', 'wkwkwk solusinya ya', 'solusinya ya pake', 'ya pake tripod', 'pake tripod bluetooth', 'tripod bluetooth foto', 'bluetooth foto pake', 'foto pake remote']"
layar belakangnya dijadiin running text bang pas ngevlog pake video blekang kya baca text layar kecilnya tetep bikin viceo pake kamera,"['layar belakangnya', 'belakangnya dijadiin', 'dijadiin running', 'running text', 'text bang', 'bang pas', 'pas ngevlog', 'ngevlog pake', 'pake video', 'video blekang', 'blekang kya', 'kya baca', 'baca text', 'text layar', 'layar kecilnya', 'kecilnya tetep', 'tetep bikin', 'bikin viceo', 'viceo pake', 'pake kamera']","['layar belakangnya dijadiin', 'belakangnya dijadiin running', 'dijadiin running text', 'running text bang', 'text bang pas', 'bang pas ngevlog', 'pas ngevlog pake', 'ngevlog pake video', 'pake video blekang', 'video blekang kya', 'blekang kya baca', 'kya baca text', 'baca text layar', 'text layar kecilnya', 'layar kecilnya tetep', 'kecilnya tetep bikin', 'tetep bikin viceo', 'bikin viceo pake', 'viceo pake kamera']"
bang rekomen hp fokus kameragame ya,"['bang rekomen', 'rekomen hp', 'hp fokus', 'fokus kameragame', 'kameragame ya']","['bang rekomen hp', 'rekomen hp fokus', 'hp fokus kameragame', 'fokus kameragame ya']"
bos review motorola g power,"['bos review', 'review motorola', 'motorola g', 'g power']","['bos review motorola', 'review motorola g', 'motorola g power']"
jgn dilupain xiaomi ultrasiapa ngikutin cuyyy,"['jgn dilupain', 'dilupain xiaomi', 'xiaomi ultrasiapa', 'ultrasiapa ngikutin', 'ngikutin cuyyy']","['jgn dilupain xiaomi', 'dilupain xiaomi ultrasiapa', 'xiaomi ultrasiapa ngikutin', 'ultrasiapa ngikutin cuyyy']"
xiaomi niru iphone salah aslinya xiaomi mi ultra liat hp langsung fomo,"['xiaomi niru', 'niru iphone', 'iphone salah', 'salah aslinya', 'aslinya xiaomi', 'xiaomi mi', 'mi ultra', 'ultra liat', 'liat hp', 'hp langsung', 'langsung fomo']","['xiaomi niru iphone', 'niru iphone salah', 'iphone salah aslinya', 'salah aslinya xiaomi', 'aslinya xiaomi mi', 'xiaomi mi ultra', 'mi ultra liat', 'ultra liat hp', 'liat hp langsung', 'hp langsung fomo']"
