cleaned,bigram,trigram
bang review infinix note s,"['bang review', 'review infinix', 'infinix note', 'note s']","['bang review infinix', 'review infinix note', 'infinix note s']"
poco x dibagian kamera kaca ngebantu banget selfie pake kamera catatan clean biar keliatan wkwkwkwk ngebantu,"['poco x', 'x dibagian', 'dibagian kamera', 'kamera kaca', 'kaca ngebantu', 'ngebantu banget', 'banget selfie', 'selfie pake', 'pake kamera', 'kamera catatan', 'catatan clean', 'clean biar', 'biar keliatan', 'keliatan wkwkwkwk', 'wkwkwkwk ngebantu']","['poco x dibagian', 'x dibagian kamera', 'dibagian kamera kaca', 'kamera kaca ngebantu', 'kaca ngebantu banget', 'ngebantu banget selfie', 'banget selfie pake', 'selfie pake kamera', 'pake kamera catatan', 'kamera catatan clean', 'catatan clean biar', 'clean biar keliatan', 'biar keliatan wkwkwkwk', 'keliatan wkwkwkwk ngebantu']"
tunggu tnggu,['tunggu tnggu'],[]
hahaha kmaren comen ehhh uda jdi video nya,"['hahaha kmaren', 'kmaren comen', 'comen ehhh', 'ehhh uda', 'uda jdi', 'jdi video', 'video nya']","['hahaha kmaren comen', 'kmaren comen ehhh', 'comen ehhh uda', 'ehhh uda jdi', 'uda jdi video', 'jdi video nya']"
wow,[],[]
david pakai kacamata yaaa,"['david pakai', 'pakai kacamata', 'kacamata yaaa']","['david pakai kacamata', 'pakai kacamata yaaa']"
hasil foto xiaomi post ig story gak burik kalah udah iphone mah,"['hasil foto', 'foto xiaomi', 'xiaomi post', 'post ig', 'ig story', 'story gak', 'gak burik', 'burik kalah', 'kalah udah', 'udah iphone', 'iphone mah']","['hasil foto xiaomi', 'foto xiaomi post', 'xiaomi post ig', 'post ig story', 'ig story gak', 'story gak burik', 'gak burik kalah', 'burik kalah udah', 'kalah udah iphone', 'udah iphone mah']"
nonton hp sharp r deat touch ngetik pake keyboard portabel,"['nonton hp', 'hp sharp', 'sharp r', 'r deat', 'deat touch', 'touch ngetik', 'ngetik pake', 'pake keyboard', 'keyboard portabel']","['nonton hp sharp', 'hp sharp r', 'sharp r deat', 'r deat touch', 'deat touch ngetik', 'touch ngetik pake', 'ngetik pake keyboard', 'pake keyboard portabel']"
yng review gw ttp nungguuin lu bqng,"['yng review', 'review gw', 'gw ttp', 'ttp nungguuin', 'nungguuin lu', 'lu bqng']","['yng review gw', 'review gw ttp', 'gw ttp nungguuin', 'ttp nungguuin lu', 'nungguuin lu bqng']"
oppo apro bang,"['oppo apro', 'apro bang']",['oppo apro bang']
